x(ps)	2y
0	228
100000000000	234
200000000000	233
300000000000	247
400000000000	242
500000000000	261
600000000000	248
700000000000	262
800000000000	246
900000000000	240
1000000000000	238
1100000000000	259
1200000000000	259
1300000000000	252
1400000000000	228
1500000000000	252
1600000000000	235
1700000000000	238
1800000000000	249
1900000000000	277
2000000000000	211
2100000000000	270
2200000000000	254
2300000000000	245
2400000000000	260
2500000000000	244
2600000000000	244
2700000000000	214
2800000000000	249
2900000000000	268
3000000000000	251
3100000000000	270
3200000000000	239
3300000000000	221
3400000000000	281
3500000000000	248
3600000000000	261
3700000000000	257
3800000000000	221
3900000000000	220
4000000000000	249
4100000000000	255
4200000000000	241
4300000000000	255
4400000000000	251
4500000000000	248
4600000000000	212
4700000000000	249
4800000000000	236
4900000000000	260
5000000000000	252
5100000000000	242
5200000000000	249
5300000000000	232
5400000000000	257
5500000000000	255
5600000000000	226
5700000000000	250
5800000000000	235
5900000000000	242
6000000000000	231
6100000000000	256
6200000000000	253
6300000000000	272
6400000000000	247
6500000000000	255
6600000000000	229
6700000000000	249
6800000000000	251
6900000000000	270
7000000000000	238
7100000000000	254
7200000000000	260
7300000000000	226
7400000000000	253
7500000000000	283
7600000000000	245
7700000000000	257
7800000000000	245
7900000000000	247
8000000000000	248
8100000000000	244
8200000000000	234
8300000000000	228
8400000000000	237
8500000000000	234
8600000000000	251
8700000000000	213
8800000000000	266
8900000000000	211
9000000000000	263
9100000000000	233
9200000000000	214
9300000000000	256
9400000000000	244
9500000000000	258
9600000000000	251
9700000000000	263
9800000000000	241
9900000000000	230
