x(ps)	2y
0	251
100000000000	245
200000000000	251
300000000000	225
400000000000	236
500000000000	212
600000000000	222
700000000000	270
800000000000	238
900000000000	223
1000000000000	245
1100000000000	223
1200000000000	248
1300000000000	224
1400000000000	234
1500000000000	266
1600000000000	263
1700000000000	273
1800000000000	233
1900000000000	233
2000000000000	258
2100000000000	258
2200000000000	225
2300000000000	235
2400000000000	204
2500000000000	238
2600000000000	235
2700000000000	233
2800000000000	264
2900000000000	258
3000000000000	250
3100000000000	230
3200000000000	257
3300000000000	214
3400000000000	246
3500000000000	239
3600000000000	230
3700000000000	247
3800000000000	224
3900000000000	253
4000000000000	262
4100000000000	239
4200000000000	230
4300000000000	231
4400000000000	252
4500000000000	246
4600000000000	244
4700000000000	256
4800000000000	239
4900000000000	224
5000000000000	215
5100000000000	247
5200000000000	245
5300000000000	245
5400000000000	209
5500000000000	221
5600000000000	228
5700000000000	252
5800000000000	240
5900000000000	237
6000000000000	272
6100000000000	191
6200000000000	232
6300000000000	232
6400000000000	258
6500000000000	222
6600000000000	263
6700000000000	242
6800000000000	240
6900000000000	250
7000000000000	250
7100000000000	251
7200000000000	268
7300000000000	261
7400000000000	240
7500000000000	260
7600000000000	237
7700000000000	257
7800000000000	238
7900000000000	241
8000000000000	239
8100000000000	240
8200000000000	232
8300000000000	293
8400000000000	234
8500000000000	236
8600000000000	263
8700000000000	219
8800000000000	270
8900000000000	243
9000000000000	250
9100000000000	261
9200000000000	248
9300000000000	247
9400000000000	232
9500000000000	224
9600000000000	238
9700000000000	217
9800000000000	265
9900000000000	218
