x(ps)	2y
0	250
100000000000	304
200000000000	255
300000000000	274
400000000000	290
500000000000	259
600000000000	254
700000000000	268
800000000000	247
900000000000	259
1000000000000	271
1100000000000	256
1200000000000	253
1300000000000	256
1400000000000	223
1500000000000	286
1600000000000	263
1700000000000	294
1800000000000	275
1900000000000	275
2000000000000	261
2100000000000	276
2200000000000	268
2300000000000	271
2400000000000	255
2500000000000	287
2600000000000	283
2700000000000	270
2800000000000	279
2900000000000	256
3000000000000	275
3100000000000	293
3200000000000	268
3300000000000	274
3400000000000	262
3500000000000	253
3600000000000	276
3700000000000	313
3800000000000	281
3900000000000	256
4000000000000	253
4100000000000	258
4200000000000	251
4300000000000	292
4400000000000	276
4500000000000	262
4600000000000	280
4700000000000	274
4800000000000	278
4900000000000	269
5000000000000	260
5100000000000	276
5200000000000	264
5300000000000	242
5400000000000	260
5500000000000	235
5600000000000	271
5700000000000	231
5800000000000	305
5900000000000	267
6000000000000	231
6100000000000	253
6200000000000	273
6300000000000	222
6400000000000	289
6500000000000	297
6600000000000	264
6700000000000	289
6800000000000	237
6900000000000	310
7000000000000	270
7100000000000	289
7200000000000	264
7300000000000	271
7400000000000	259
7500000000000	238
7600000000000	278
7700000000000	266
7800000000000	292
7900000000000	257
8000000000000	279
8100000000000	270
8200000000000	244
8300000000000	253
8400000000000	311
8500000000000	270
8600000000000	256
8700000000000	259
8800000000000	288
8900000000000	283
9000000000000	279
9100000000000	270
9200000000000	264
9300000000000	246
9400000000000	277
9500000000000	270
9600000000000	269
9700000000000	260
9800000000000	246
9900000000000	271
